Group_Letter,Group_Name
A,SV1 Repeaters
B,SV3 Repeaters
C,SV8 Repeaters
D,SV9 Repeaters
E,Greek Beacons
F,UHF Links
G,10m EU Repeaters
H,Satellites
I,Calling
J,Digital
K,APRS
L,VHF
M,UHF
N,HF-10m
O,6m
P,4m
Q,Spare
R,Spare
S,Spare
T,Spare
U,Spare
V,Spare
W,Spare
X,Spare
Y,Spare
Z,Spare
